"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_elec","ef_pri_landfill_gas_emi_co2_f_pow"
101,"FI",2021,"pow_combustion_gt_biogas_02",0.195,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
102,"FI",2024,"pow_combustion_gt_biogas_02",0.195,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
103,"FI",2027,"pow_combustion_gt_biogas_02",0.195,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
104,"FI",2030,"pow_combustion_gt_biogas_02",0.195,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
105,"FI",2035,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
106,"FI",2040,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
107,"FI",2045,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
108,"FI",2050,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
109,"FI",2060,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
110,"FI",2070,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
111,"FR",2020,"pow_combustion_gt_biogas_02",15.304,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
112,"FR",2021,"pow_combustion_gt_biogas_02",15.304,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
113,"FR",2024,"pow_combustion_gt_biogas_02",15.304,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
114,"FR",2027,"pow_combustion_gt_biogas_02",12.01,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
115,"FR",2030,"pow_combustion_gt_biogas_02",1.17,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
116,"FR",2035,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
117,"FR",2040,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
118,"FR",2045,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
119,"FR",2050,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
120,"FR",2060,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
121,"FR",2070,"pow_combustion_gt_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
122,"FR",2020,"pow_combustion_ic_biogas_02",69.083,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
123,"FR",2021,"pow_combustion_ic_biogas_02",69.083,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
124,"FR",2024,"pow_combustion_ic_biogas_02",67.479,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_landfill_gas"
