"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_sec_biogas_emi_co2_f_pow"
68,"CH",2021,"pow_combustion_ic_biogas_04",3.06029920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
69,"CH",2024,"pow_combustion_ic_biogas_04",3.06029920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
70,"CH",2027,"pow_combustion_ic_biogas_04",3.06029920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
71,"CH",2030,"pow_combustion_ic_biogas_04",3.06029920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
72,"CH",2035,"pow_combustion_ic_biogas_04",2.89629920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
73,"CH",2040,"pow_combustion_ic_biogas_04",2.89629920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
74,"CH",2045,"pow_combustion_ic_biogas_04",1.08840189411537,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
75,"CH",2050,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
76,"CH",2060,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
77,"CH",2070,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
78,"CY",2020,"pow_combustion_ic_biogas_04",10.198,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
79,"CY",2021,"pow_combustion_ic_biogas_04",10.198,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
80,"CY",2024,"pow_combustion_ic_biogas_04",10.198,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
81,"CY",2027,"pow_combustion_ic_biogas_04",10.198,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
82,"CY",2030,"pow_combustion_ic_biogas_04",10.198,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
83,"CY",2035,"pow_combustion_ic_biogas_04",4.718,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
84,"CY",2040,"pow_combustion_ic_biogas_04",2.968,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
85,"CY",2045,"pow_combustion_ic_biogas_04",2.968,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
86,"CY",2050,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
87,"CY",2060,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
88,"CY",2070,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
