"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_sewage_gas_emi_co2_f_pow"
80,"ES",2024,"pow_combustion_gt_chp_biogas_02",0.18,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_sewage_gas"
81,"ES",2027,"pow_combustion_gt_chp_biogas_02",0.18,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_sewage_gas"
82,"ES",2030,"pow_combustion_gt_chp_biogas_02",0.18,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_sewage_gas"
83,"ES",2035,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
84,"ES",2040,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
85,"ES",2045,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
86,"ES",2050,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
87,"ES",2060,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
88,"ES",2070,"pow_combustion_gt_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
89,"ES",2020,"pow_combustion_ic_chp_biogas_02",23.774,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
90,"ES",2021,"pow_combustion_ic_chp_biogas_02",23.774,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
91,"ES",2024,"pow_combustion_ic_chp_biogas_02",22.334,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
92,"ES",2027,"pow_combustion_ic_chp_biogas_02",22.004,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
93,"ES",2030,"pow_combustion_ic_chp_biogas_02",14.214,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
94,"ES",2035,"pow_combustion_ic_chp_biogas_02",0.1,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
95,"ES",2040,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
96,"ES",2045,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
97,"ES",2050,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
98,"ES",2060,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
99,"ES",2070,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
100,"FI",2020,"pow_combustion_ic_chp_biogas_02",3.895,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
101,"FI",2021,"pow_combustion_ic_chp_biogas_02",3.895,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
102,"FI",2024,"pow_combustion_ic_chp_biogas_02",1.0,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
103,"FI",2027,"pow_combustion_ic_chp_biogas_02",1.0,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
104,"FI",2030,"pow_combustion_ic_chp_biogas_02",1.0,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_sewage_gas"
105,"FI",2035,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
106,"FI",2040,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
107,"FI",2045,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
108,"FI",2050,"pow_combustion_ic_chp_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas"
