"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_landfill_gas_emi_co2_f_pow"
94,"ES",2035,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
95,"ES",2040,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
96,"ES",2045,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
97,"ES",2050,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
98,"ES",2060,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
99,"ES",2070,"pow_combustion_ic_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
100,"FI",2020,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
101,"FI",2021,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
102,"FI",2024,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
103,"FI",2027,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
104,"FI",2030,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
105,"FI",2035,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
106,"FI",2040,"pow_combustion_gt_chp_biogas_01",0.6,0.0,0.0,20631.0,772340.0,5.7132,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.7027027027027,1.0,1.0,"global_emission_factors.pri_landfill_gas"
107,"FI",2045,"pow_combustion_gt_chp_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,"global_emission_factors.pri_landfill_gas"
