"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_coal","conversion_factor_sec_elec","ef_pri_coal_emi_co2_f_pow"
71,"CZ",2030,"pow_combustion_st_coal_0",472.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60132200176159,1.0,"global_emission_factors.pri_coal"
72,"CZ",2035,"pow_combustion_st_coal_0",472.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60132200176159,1.0,"global_emission_factors.pri_coal"
73,"CZ",2040,"pow_combustion_st_coal_0",472.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60132200176159,1.0,"global_emission_factors.pri_coal"
74,"CZ",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
75,"CZ",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
76,"CZ",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
77,"CZ",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
78,"DE",2020,"pow_combustion_st_coal_0",6798.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.33033660809718,1.0,"global_emission_factors.pri_coal"
79,"DE",2021,"pow_combustion_st_coal_0",2746.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.42921885457305,1.0,"global_emission_factors.pri_coal"
80,"DE",2024,"pow_combustion_st_coal_0",998.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.26216205072651,1.0,"global_emission_factors.pri_coal"
81,"DE",2027,"pow_combustion_st_coal_0",998.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.26216205072651,1.0,"global_emission_factors.pri_coal"
82,"DE",2030,"pow_combustion_st_coal_0",882.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.22264548246625,1.0,"global_emission_factors.pri_coal"
83,"DE",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
84,"DE",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
85,"DE",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
86,"DE",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
87,"DE",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
88,"DE",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
89,"DK",2020,"pow_combustion_st_coal_0",151.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61201261487926,1.0,"global_emission_factors.pri_coal"
90,"DK",2021,"pow_combustion_st_coal_0",26.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.57813023682704,1.0,"global_emission_factors.pri_coal"
91,"DK",2024,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
92,"DK",2027,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
93,"DK",2030,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
94,"DK",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
95,"DK",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
96,"DK",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
97,"DK",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
98,"DK",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
99,"DK",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
100,"ES",2020,"pow_combustion_st_coal_0",6405.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59466771446249,1.0,"global_emission_factors.pri_coal"
101,"ES",2021,"pow_combustion_st_coal_0",6405.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59466771446249,1.0,"global_emission_factors.pri_coal"
102,"ES",2024,"pow_combustion_st_coal_0",4972.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59635164750055,1.0,"global_emission_factors.pri_coal"
103,"ES",2027,"pow_combustion_st_coal_0",3816.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59899445231557,1.0,"global_emission_factors.pri_coal"
104,"ES",2030,"pow_combustion_st_coal_0",573.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59129751666326,1.0,"global_emission_factors.pri_coal"
105,"ES",2035,"pow_combustion_st_coal_0",573.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.59129751666326,1.0,"global_emission_factors.pri_coal"
106,"ES",2040,"pow_combustion_st_coal_0",526.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.58917105099631,1.0,"global_emission_factors.pri_coal"
107,"ES",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
108,"ES",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
109,"ES",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
110,"ES",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
111,"FI",2020,"pow_combustion_st_coal_0",1244.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.4918308809925,1.0,"global_emission_factors.pri_coal"
112,"FI",2021,"pow_combustion_st_coal_0",1171.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.48364731400479,1.0,"global_emission_factors.pri_coal"
113,"FI",2024,"pow_combustion_st_coal_0",775.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.42710734284027,1.0,"global_emission_factors.pri_coal"
114,"FI",2027,"pow_combustion_st_coal_0",775.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.42710734284027,1.0,"global_emission_factors.pri_coal"
115,"FI",2030,"pow_combustion_st_coal_0",775.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.42710734284027,1.0,"global_emission_factors.pri_coal"
116,"FI",2035,"pow_combustion_st_coal_0",526.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.34192037470726,1.0,"global_emission_factors.pri_coal"
117,"FI",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
118,"FI",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
119,"FI",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
120,"FI",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
121,"FI",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
122,"FR",2020,"pow_combustion_st_coal_0",2832.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60151369147628,1.0,"global_emission_factors.pri_coal"
