"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
72,"DE",2020,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,17.93392319,597.7974396,20.0,1.0,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
73,"DE",2025,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,19.51567154,650.5223846,20.0,1.0,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
74,"DE",2030,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,20.95942439,698.6474796,20.0,1.0,0.0,0.0,0.863355922,0.136644078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
75,"DE",2035,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,22.03814023,734.6046744,20.0,1.0,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
76,"DE",2040,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,23.00669513,766.8898377,20.0,1.0,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
77,"DE",2045,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,23.25649906,775.2166355,20.0,1.0,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
78,"DE",2050,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,23.31142459,777.0474862,20.0,1.0,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
79,"DE",2060,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,23.31142459,777.0474862,20.0,1.0,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
80,"DE",2070,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,23.31142459,777.0474862,20.0,1.0,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
81,"DE",2015,"hea_hh_me1_heater_et_boil_mono_1",1.0,1.0,3.276077557,109.2025852,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
