"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_ue1_space_heating","conversion_factor_ue1_hot_water","conversion_factor_ue1_space_cooling","flow_share_fix_ue1_space_heating","flow_share_fix_ue1_hot_water","flow_share_fix_ue1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
68,"DE",2050,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,75.23646363,1253.94106,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
69,"DE",2060,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,75.23646363,1253.94106,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
70,"DE",2070,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,75.23646363,1253.94106,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
71,"DE",2015,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,21.9776603,732.5886768,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
72,"DE",2020,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,23.58437462,786.1458206,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
73,"DE",2025,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,25.80707238,860.2357459,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
74,"DE",2030,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,28.44778957,948.2596522,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
75,"DE",2035,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,29.9128236,997.0941202,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
76,"DE",2040,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,30.92335133,1030.778378,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
77,"DE",2045,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,30.92335133,1030.778378,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
78,"DE",2050,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,30.92335133,1030.778378,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
79,"DE",2060,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,30.92335133,1030.778378,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
80,"DE",2070,"hea_hh_ue1_heater_boil_et_soco_1",1.0,0.0,30.92335133,1030.778378,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
81,"DE",2015,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,4.282059686,142.7353229,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
82,"DE",2020,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,4.491752659,149.7250886,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
83,"DE",2025,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,4.771008362,159.0336121,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
84,"DE",2030,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.088134432,169.6044811,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
85,"DE",2035,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.257872051,175.2624017,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
86,"DE",2040,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.37256583,179.0855277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
87,"DE",2045,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.37256583,179.0855277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
88,"DE",2050,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.37256583,179.0855277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
89,"DE",2060,"hea_hh_ue1_heater_et_boil_mono_1",1.0,1.0,5.37256583,179.0855277,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
